Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Honda Civic  1996 VTi 1.6,PKR 9.8 lacs,980000,Peshawar,1996,"80,000km",Petrol,1600cc,Manual,Not Certified,Customer,80000
Suzuki Alto  2024 VXR,PKR 28.25 lacs,2825000,Gujranwala,2024,"2,000km",Petrol,660cc,Manual,Not Certified,Customer,2000
Toyota Corolla  2006 XLi,PKR 18 lacs,1800000,Rawalpindi,2006,"85,000km",Petrol,1300cc,Manual,Not Certified,Customer,85000
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 33.75 lacs,3375000,Faisalabad,2016,"159,000km",Petrol,1300cc,Automatic,Not Certified,Customer,159000
Suzuki Bolan  2012 VX,PKR 9 lacs,900000,Ranipur,2012,"795,739km",Petrol,800cc,Manual,Not Certified,Customer,795739
Honda City  2003 EXi,PKR 12.5 lacs,1250000,TobaTekSingh,2003,18km,Petrol,1300cc,Manual,Not Certified,Customer,18
Toyota Prado  2009 TX 2.7,PKR 1.55 crore,15500000,Sialkot,2009,"109,000km",Petrol,2700cc,Automatic,Not Certified,Customer,109000
Suzuki Cultus  2021 Auto Gear Shift,PKR 34.5 lacs,3450000,Lahore,2021,"22,000km",Petrol,1000cc,Automatic,Not Certified,Customer,22000
Honda Life  2009 G,PKR 16.8 lacs,1680000,Karachi,2009,"104,000km",Petrol,660cc,Automatic,Not Certified,Customer,104000
Suzuki Mehran  2002 VX,PKR 6.2 lacs,620000,Islamabad,2002,"29,000km",Petrol,800cc,Manual,Not Certified,Customer,29000
Toyota Pixis Epoch  2021 ,PKR 34.5 lacs,3450000,Peshawar,2021,"15,966km",Petrol,660cc,Automatic,Not Certified,Customer,15966
Toyota Vitz  2019 F M Package 1.0,PKR 41 lacs,4100000,Gujranwala,2019,"55,000km",Petrol,996cc,Automatic,Not Certified,Customer,55000
Honda Civic  2000 EXi Automatic,PKR 14.5 lacs,1450000,Abbottabad,2000,"200,000km",Petrol,1500cc,Automatic,Not Certified,Customer,200000
Honda Civic EK 1996 EXi Automatic,PKR 9.25 lacs,925000,Rawalpindi,1996,"225,000km",Petrol,1500cc,Automatic,Not Certified,Customer,225000
Nissan Clipper  2020 E,PKR 25.9 lacs,2590000,Gujranwala,2020,"50,000km",Petrol,660cc,Automatic,Not Certified,Customer,50000
Honda Civic Reborn 2010 VTi Prosmatec 1.8 i-VTEC,PKR 25.5 lacs,2550000,Multan,2010,"300,000km",Petrol,1800cc,Automatic,Not Certified,Customer,300000
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 55 lacs,5500000,Lahore,2018,"74,000km",Petrol,1800cc,Automatic,Not Certified,Customer,74000
Toyota Corolla  2015 Altis Automatic 1.6,PKR 37 lacs,3700000,Karachi,2015,"82,000km",Petrol,1600cc,Automatic,Not Certified,Customer,82000
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 52.5 lacs,5250000,Sialkot,2018,"65,000km",Petrol,1800cc,Automatic,Not Certified,Customer,65000
Land Rover Discovery  1997 ,PKR 18 lacs,1800000,Swabi,1997,"160,000km",Petrol,3400cc,Automatic,Not Certified,Customer,160000
Suzuki Mehran  2011 VXR,PKR 10.5 lacs,1050000,Islamabad,2011,"50,000km",Petrol,800cc,Manual,Not Certified,Customer,50000
Hyundai Santro  2008 Club,PKR 14.6 lacs,1460000,Wahcantt,2008,"110,000km",Petrol,1000cc,Manual,Not Certified,Customer,110000
Honda Civic  2020 Oriel 1.8 i-VTEC CVT,PKR 61.5 lacs,6150000,Karachi,2020,"25,000km",Petrol,1800cc,Automatic,Not Certified,Customer,25000
Toyota Corolla 9th (E120) Generation 2006 GLi 1.3,PKR 18.9 lacs,1889999,TobaTekSingh,2006,"205,500km",Petrol,1300cc,Manual,Not Certified,Customer,205500
