Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 48.5 lacs,4850000,Karachi,2018,"89,000km",Petrol,1800cc,Automatic,Not Certified,Customer,89000
Suzuki Swift  2017 ,PKR 65 lacs,6500000,Rawalpindi,2017,"98,000km",Petrol,1400cc,Automatic,Not Certified,Customer,98000
Suzuki Cultus  2016 Limited Edition,PKR 18 lacs,1800000,Islamabad,2016,"80,000km",Petrol,1000cc,Manual,Not Certified,Customer,80000
Suzuki Wagon R  2021 VXL,PKR 26.95 lacs,2695000,Okara,2021,"53,000km",Petrol,1000cc,Manual,Not Certified,Customer,53000
Mercedes Benz C Class  2003 C180,PKR 24.5 lacs,2450000,Islamabad,2003,1km,Petrol,2000cc,Automatic,Not Certified,Customer,1
Suzuki Alto  2020 VXR,PKR 23.3 lacs,2330000,Islamabad,2020,"56,495km",Petrol,660cc,Manual,Not Certified,Customer,56495
Toyota Corolla  2019 GLi 1.3 VVTi,PKR 38.5 lacs,3850000,Islamabad,2019,"90,000km",Petrol,1300cc,Manual,Not Certified,Customer,90000
Suzuki Cultus  2016 Limited Edition,PKR 19 lacs,1900000,Lahore,2016,"82,000km",Petrol,1000cc,Manual,Not Certified,Customer,82000
Proton X70  2022 Premium FWD,PKR 69.75 lacs,6975000,Lahore,2022,"22,000km",Petrol,1500cc,Automatic,Not Certified,Customer,22000
Daihatsu Gran Max  1999 MT,PKR 8.9 lacs,890000,Karachi,1999,"122,252km",Petrol,1000cc,Manual,Not Certified,Customer,122252
Hyundai Elantra  2021 GLS,PKR 59.8 lacs,5980000,Bahawalpur,2021,"42,000km",Petrol,2000cc,Automatic,Not Certified,Customer,42000
Suzuki Alto  2019 VXR,PKR 22.49 lacs,2249000,Karachi,2019,"35,000km",Petrol,660cc,Manual,Not Certified,Customer,35000
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 33 lacs,3300000,Karachi,2013,"100,000km",Petrol,1800cc,Automatic,Not Certified,Customer,100000
Suzuki Cultus  2007 VXL (CNG),PKR 8.55 lacs,855000,Pasrur,2007,"89,000km",Petrol,1000cc,Manual,Not Certified,Customer,89000
Toyota Corolla  2012 XLi VVTi,PKR 26 lacs,2600000,Karachi,2012,"86,000km",Petrol,1300cc,Manual,Not Certified,Customer,86000
Honda Vezel  2019 Hybrid RS Honda Sensing ,PKR 83.75 lacs,8375000,Karachi,2019,"29,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,29000
BMW 3 Series  1993 ,PKR 28 lacs,2800000,Karachi,1993,1km,Petrol,3000cc,Manual,Not Certified,Customer,1
Toyota Land Cruiser 5th (J80) Generation 1998 VX 4.2D,PKR 85 lacs,8500000,Islamabad,1998,"130,000km",Diesel,4200cc,Automatic,Not Certified,Customer,130000
Suzuki Mehran  2016 VX Euro II,PKR 13.8 lacs,1380000,Islamabad,2016,"130,000km",Petrol,800cc,Manual,Not Certified,Customer,130000
Honda Vezel  2018 Hybrid RS Honda Sensing ,PKR 81 lacs,8100000,Mardan,2018,"62,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,62000
Toyota Passo  2019 ,PKR 34 lacs,3400000,Shakargarh,2019,"80,000km",Petrol,1000cc,Automatic,Not Certified,Customer,80000
FAW V2  2018 VCT-i,PKR 18 lacs,1800000,Rawalpindi,2018,"107,000km",Petrol,1300cc,Manual,Not Certified,Customer,107000
Honda City 6th Generation 2024 1.2L CVT,PKR 48.95 lacs,4895000,Lahore,2024,1km,Petrol,1200cc,Automatic,Not Certified,Customer,1
Toyota Platz  2002 F 1.0,PKR 11.95 lacs,1195000,Karachi,2002,"88,000km",Petrol,1000cc,Automatic,Not Certified,Customer,88000
United Alpha  2021 1.0 Manual,PKR 13.75 lacs,1375000,Jhelum,2021,"68,000km",Petrol,1000cc,Manual,Not Certified,Customer,68000
Mitsubishi Pajero  1993 ,PKR 28.45 lacs,2845000,Lahore,1993,"200,000km",Diesel,2500cc,Automatic,Not Certified,Customer,200000
Mercedes Benz C Class  2012 C200,PKR 75 lacs,7500000,Karachi,2012,"74,000km",Petrol,1800cc,Automatic,Not Certified,Customer,74000
Mercedes Benz C Class  2010 C63 AMG,PKR 1.4 crore,14000000,Karachi,2010,"54,000km",Petrol,6200cc,Automatic,Not Certified,Customer,54000
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior,PKR 65 lacs,6500000,Hyderabad,2021,"60,000km",Petrol,1800cc,Automatic,Not Certified,Customer,60000
Honda Civic  2004 EXi,PKR 14.9 lacs,1490000,Rawalpindi,2004,"268,000km",Petrol,1500cc,Manual,Not Certified,Customer,268000
Toyota Corolla  2020 Altis Grande CVT-i 1.8,PKR 58 lacs,5800000,Quetta,2020,"66,600km",Petrol,1800cc,Automatic,Not Certified,Customer,66600
