Car_Name,Present_Price,Selling_Price,City,Year,Kms_Driven,Fuel_Type,HorsePower,Transmission,Certified,Seller_Type,Distance2
Audi Q3  2014 1.4 TFSI,PKR 60 lacs,6000000,Karachi,2014,"72,000km",Petrol,1400cc,Automatic,Not Certified,Customer,72000
Audi Q3  2016 1.4 TFSI,PKR 75 lacs,7500000,Islamabad,2016,"125,000km",Petrol,1400cc,Automatic,Not Certified,Customer,125000
Audi Q3  2017 Sport 1.4 TFSI,PKR 75 lacs,7500000,Lahore,2017,"113,536km",Petrol,1400cc,Automatic,Not Certified,PakWheels,113536
Audi Q3  2018 Sport 1.4 TFSI,PKR 1.18 crore,11800000,Rawalpindi,2018,"33,700km",Petrol,1400cc,Automatic,Not Certified,Customer,33700
Audi Q3  2020 ,PKR 1.65 crore,16500000,Islamabad,2020,"39,000km",Petrol,1400cc,Automatic,Not Certified,Customer,39000
Audi Q5  2013 2.0 TFSI S Tronic quattro,PKR 77 lacs,7700000,Lahore,2013,"108,000km",Petrol,2000cc,Automatic,Not Certified,Customer,108000
Audi Q5  2019 2.0 TFSI S Tronic quattro,PKR 1.85 crore,18500000,Lahore,2019,"94,000km",Petrol,2000cc,Automatic,Not Certified,Customer,94000
Audi Q7  2009 4.2 FSI,PKR 1.88 crore,18800000,Islamabad,2009,"118,708km",Petrol,4200cc,Automatic,Not Certified,Customer,118708
Audi Q7  2010 3.6 FSI,PKR 1.15 crore,11500000,Islamabad,2010,"46,000km",Petrol,3600cc,Automatic,Not Certified,Customer,46000
Audi Q7  2018 45 TFSI quattro,PKR 3.25 crore,32500000,Lahore,2018,"55,283km",Petrol,3000cc,Automatic,Not Certified,Customer,55283
Audi TT  2016 ,PKR 98 lacs,9800000,Taxila,2016,"80,000km",Diesel,4500cc,Manual,Not Certified,Customer,80000
Audi e-tron  2020 55 Quattro 300kW,PKR 2.6 crore,26000000,Islamabad,2020,"40,000km",Electric,95.0kWh,Automatic,Not Certified,Customer,40000
Audi e-tron  2020 55 quattro 300kW,PKR 2.55 crore,25500000,Lahore,2020,"6,000km",Electric,95.0kWh,Automatic,Not Certified,Customer,6000
Audi e-tron  2021 50 Quattro Sportback 230kW,PKR 2.45 crore,24500000,Lahore,2021,"43,500km",Electric,95.0kWh,Automatic,Not Certified,Customer,43500
Audi e-tron  2021 50 quattro Sportback 230kW,PKR 2.6 crore,26000000,Lahore,2021,"12,500km",Electric,95.0kWh,Automatic,Not Certified,Customer,12500
Audi e-tron  2021 55 quattro 300kW,PKR 2.8 crore,28000000,Lahore,2021,"22,000km",Electric,95.0kWh,Automatic,Not Certified,Customer,22000
Audi e-tron  2022 55 quattro 300kW,PKR 2.8 crore,28000000,Lahore,2022,150km,Electric,95.0kWh,Automatic,Not Certified,Customer,150
Audi e-tron GT  2022 ,PKR 4.3 crore,43000000,Lahore,2022,"23,500km",Electric,93.4kWh,Automatic,Not Certified,Customer,23500
Audi e-tron GT  2022 RS,PKR 5.42 crore,54200000,Islamabad,2022,"5,330km",Electric,93.0kWh,Automatic,Not Certified,Customer,5330
Audi e-tron GT  2022 Standard,PKR 4.25 crore,42500000,Lahore,2022,"7,000km",Electric,93.0kWh,Automatic,Not Certified,Customer,7000
Austin Mini  1972 ,PKR 20 lacs,2000000,Karachi,1972,"1,000km",Petrol,1000cc,Manual,Not Certified,Customer,1000
BAIC BJ40  1983 ,PKR 19 lacs,1900000,Lahore,1983,"46,800km",Diesel,2800cc,Manual,Not Certified,Customer,46800
BAIC BJ40  2022 Exclusive,PKR 94 lacs,9400000,Lahore,2022,1km,Petrol,2000cc,Automatic,Not Certified,Customer,1
BAIC BJ40 Plus  2021 ,PKR 86.9 lacs,8690000,Islamabad,2021,"51,000km",Petrol,2000cc,Automatic,Not Certified,Customer,51000
BAIC BJ40 Plus  2021 Honorable Edition,PKR 83 lacs,8300000,Lahore,2021,"24,000km",Petrol,2000cc,Automatic,Not Certified,Customer,24000
BAIC BJ40 Plus  2022 ,PKR 1.05 crore,10500000,Islamabad,2022,"55,000km",Petrol,2000cc,Automatic,Not Certified,Customer,55000
BAIC BJ40 Plus  2022 Honorable Edition,PKR 1.05 crore,10500000,Islamabad,2022,"10,000km",Petrol,2000cc,Automatic,Not Certified,Customer,10000
BAIC BJ40 Plus  2023 Honorable Edition,PKR 1.05 crore,10500000,Islamabad,2023,"15,000km",Petrol,2000cc,Automatic,Not Certified,Customer,15000
BMW 1 Series  2005 ,PKR 42 lacs,4200000,Karachi,2005,"116,000km",Petrol,2000cc,Automatic,Not Certified,Customer,116000
BMW 2 Series  2020 ,PKR 1.7 crore,17000000,Lahore,2020,"57,000km",Petrol,1500cc,Automatic,Not Certified,Customer,57000
BMW 2 Series  2021 218i Gran Coupe,PKR 2.25 crore,22500000,Islamabad,2021,"12,894km",Petrol,1500cc,Manual,Not Certified,PakWheels,12894
BMW 3 Series  1982 ,PKR 18 lacs,1800000,Islamabad,1982,"37,411km",Petrol,1600cc,Manual,Not Certified,Customer,37411
BMW 3 Series  1992 ,PKR 18 lacs,1800000,Karachi,1992,1km,Petrol,2500cc,Manual,Not Certified,Customer,1
BMW 3 Series  1993 ,PKR 28 lacs,2800000,Karachi,1993,1km,Petrol,3000cc,Manual,Not Certified,Customer,1
BMW 3 Series  1994 ,PKR 18.5 lacs,1850000,Islamabad,1994,"5,000km",Petrol,2500cc,Automatic,Not Certified,Customer,5000
BMW 3 Series  1996 ,PKR 18.85 lacs,1885000,Nankanasahib,1996,"266,000km",Petrol,1600cc,Automatic,Not Certified,Customer,266000
BMW 3 Series  1997 ,PKR 32 lacs,3200000,Karachi,1997,"88,000km",Petrol,4000cc,Manual,Not Certified,Customer,88000
BMW 3 Series  2002 ,PKR 21.5 lacs,2150000,Islamabad,2002,"150,000km",Petrol,1800cc,Automatic,Not Certified,Customer,150000
BMW 3 Series  2004 320i,PKR 38 lacs,3800000,Karachi,2004,"150,000km",Petrol,2000cc,Automatic,Not Certified,Customer,150000
BMW 3 Series  2005 ,PKR 45 lacs,4500000,Islamabad,2005,"229,617km",Petrol,2200cc,Manual,Not Certified,Customer,229617
BMW 3 Series  2005 318i,PKR 36 lacs,3600000,Lahore,2005,"179,000km",Petrol,1600cc,Automatic,Not Certified,Customer,179000
BMW 3 Series  2007 ,PKR 32.75 lacs,3275000,Karachi,2007,"51,000km",Diesel,3200cc,Automatic,Not Certified,Customer,51000
BMW 3 Series  2013 316i,PKR 84 lacs,8400000,Lahore,2013,"60,200km",Petrol,1600cc,Automatic,Not Certified,Customer,60200
BMW 3 Series  2014 316i,PKR 85 lacs,8500000,Lahore,2014,"79,000km",Petrol,1600cc,Automatic,Not Certified,Customer,79000
BMW 3 Series  2015 316i,PKR 79 lacs,7900000,Karachi,2015,"89,000km",Petrol,1600cc,Automatic,Not Certified,Customer,89000
BMW 3 Series  2016 318i,PKR 1.15 crore,11500000,Karachi,2016,"98,000km",Petrol,1600cc,Automatic,Not Certified,Customer,98000
BMW 3 Series  2017 318i,PKR 1.15 crore,11500000,Lahore,2017,"87,211km",Petrol,1500cc,Automatic,Not Certified,PakWheels,87211
BMW 3 Series  2018 318i,PKR 1.17 crore,11700000,Islamabad,2018,"70,000km",Petrol,1500cc,Automatic,Not Certified,Customer,70000
BMW 3 Series 4th (E46) Generation 2001 318i,PKR 29 lacs,2900000,Islamabad,2001,"318,000km",Petrol,2000cc,Automatic,Not Certified,Customer,318000
BMW 3 Series 4th (E46) Generation 2005 320i,PKR 42 lacs,4200000,Islamabad,2005,"100,000km",Petrol,2000cc,Automatic,Not Certified,Customer,100000
BMW 3 Series 5th (E90) Generation 2008 335i,PKR 1 crore,10000000,Lahore,2008,"145,000km",Petrol,3000cc,Automatic,Not Certified,Customer,145000
