Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Honda Vezel  2014 ,PKR 47.5 lacs,4750000,Lahore,2014,"129,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,129000
Honda Civic  2017 Oriel 1.8 i-VTEC CVT,PKR 50.5 lacs,5050000,Islamabad,2017,"68,000km",Petrol,1800cc,Automatic,Not Certified,Customer,68000
Honda Civic  2005 EXi,PKR 16 lacs,1600000,Sargodha,2005,"230,000km",Petrol,1500cc,Manual,Not Certified,Customer,230000
Suzuki Alto  2007 VXR,PKR 7.5 lacs,750000,Karachi,2007,"161,528km",Petrol,1000cc,Manual,Not Certified,PakWheels,161528
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 50.5 lacs,5050000,Lahore,2018,"96,000km",Petrol,1800cc,Automatic,Not Certified,Customer,96000
Suzuki Swift  2012 ,PKR 19.5 lacs,1950000,Lahore,2012,"165,000km",Petrol,1300cc,Manual,Not Certified,Customer,165000
Suzuki Bolan  2020 VX Euro II,PKR 14 lacs,1400000,Karachi,2020,"132,000km",Petrol,800cc,Manual,Not Certified,Customer,132000
Daihatsu Mira  2013 ES,PKR 19.95 lacs,1995000,Karachi,2013,"96,000km",Petrol,660cc,Automatic,Not Certified,Customer,96000
Toyota Aqua  2013 ,PKR 41.7 lacs,4170000,Islamabad,2013,"95,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,95000
Daihatsu Hijet  2010 Cruise,PKR 12.4 lacs,1240000,Mardan,2010,"70,000km",Petrol,660cc,Automatic,Not Certified,Customer,70000
Toyota Corolla Cross  2024 1.8 X,PKR 84.5 lacs,8450000,Islamabad,2024,80km,Petrol,1800cc,Automatic,Not Certified,Customer,80
Suzuki Bolan  2013 ,PKR 12.5 lacs,1250000,Abbottabad,2013,"89,464km",Petrol,800cc,Manual,Not Certified,Customer,89464
Honda Civic EK 1999 VTi Automatic 1.6,PKR 12 lacs,1200000,Faisalabad,1999,"250,000km",Petrol,1600cc,Automatic,Not Certified,Customer,250000
Honda City 5th (GM2) Generation 2020 1.5 i-VTEC Prosmatec,PKR 41 lacs,4100000,Lahore,2020,"49,500km",Petrol,1500cc,Automatic,Not Certified,Customer,49500
Suzuki Swift  2022 GLX CVT,PKR 46 lacs,4600000,Lahore,2022,"4,800km",Petrol,1200cc,Automatic,Not Certified,Customer,4800
Toyota Corolla  2021 Altis X Automatic 1.6,PKR 57 lacs,5700000,Islamabad,2021,"35,000km",Petrol,1598cc,Automatic,Not Certified,Customer,35000
Toyota Corolla 8th (E110) Generation 1994 GLi 1.6,PKR 11.55 lacs,1155000,Lakkimarwat,1994,"320,000km",Petrol,1600cc,Manual,Not Certified,Customer,320000
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,PKR 41.75 lacs,4175000,Lahore,2017,"95,000km",Petrol,1300cc,Automatic,Not Certified,Customer,95000
Proton Saga  2022 1.3L Ace A/T,PKR 33.5 lacs,3350000,Hyderabad,2022,"14,000km",Petrol,1299cc,Automatic,Not Certified,Customer,14000
Toyota Aqua  2015 X Urban,PKR 42 lacs,4200000,Karachi,2015,"130,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,130000
Suzuki Mehran  2012 VX Euro II,PKR 11 lacs,1100000,Islamabad,2012,"65,000km",Petrol,796cc,Manual,Not Certified,Customer,65000
Honda Fit  2006 ,PKR 19.95 lacs,1995000,Islamabad,2006,"87,000km",Petrol,1500cc,Automatic,Not Certified,Customer,87000
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 52.25 lacs,5225000,Karachi,2018,"49,000km",Petrol,1800cc,Automatic,Not Certified,Customer,49000
Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 27.5 lacs,2750000,Bahawalpur,2009,"132,000km",Petrol,1800cc,Automatic,Not Certified,Customer,132000
Honda Insight  2010 G,PKR 27.5 lacs,2750000,Islamabad,2010,"160,000km",Hybrid,1300cc,Automatic,Not Certified,Customer,160000
Suzuki Wagon R  2018 VXL,PKR 22.6 lacs,2260000,Faisalabad,2018,"100,000km",Petrol,1000cc,Manual,Not Certified,Customer,100000
Honda City  2012 1.3 i-VTEC Prosmatec,PKR 28.5 lacs,2850000,Attock,2012,"151,000km",Petrol,1300cc,Automatic,Not Certified,Customer,151000
Suzuki Swift  2011 DX 1.3,PKR 20 lacs,2000000,Lahore,2011,"164,000km",Petrol,1300cc,Manual,Not Certified,Customer,164000
Toyota Corolla  2013 XLi VVTi,PKR 27.5 lacs,2750000,Rawalpindi,2013,"164,000km",Petrol,1300cc,Manual,Not Certified,Customer,164000
Toyota Sienta  2024 G,PKR 60 lacs,6000000,Gujranwala,2024,"90,000km",Petrol,1500cc,Automatic,Not Certified,Customer,90000
Toyota Passo  2019 X,PKR 42.5 lacs,4250000,Islamabad,2019,"66,000km",Petrol,1000cc,Automatic,Not Certified,Customer,66000
Toyota Fortuner  2018 2.7 VVTi,PKR 1.12 crore,11200000,Karachi,2018,"76,500km",Petrol,2700cc,Automatic,Not Certified,Customer,76500
