Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Toyota Corolla  2018 Altis Grande CVT-i 1.8,PKR 48.75 lacs,4875000,Lahore,2018,"63,377km",Petrol,1800cc,Automatic,Not Certified,Customer,63377
Toyota Prado  1996 TX 3.0D,PKR 43 lacs,4300000,Islamabad,1996,"150,000km",Diesel,3000cc,Automatic,Not Certified,Customer,150000
Toyota Corolla  2012 GLi 1.3 VVTi,PKR 30.3 lacs,3030000,Islamabad,2012,"120,000km",Petrol,1300cc,Manual,Not Certified,Customer,120000
Toyota Premio  2008 X 1.8,PKR 46 lacs,4600000,Islamabad,2008,"163,640km",Petrol,1800cc,Automatic,Not Certified,PakWheels,163640
Toyota Corolla  2016 Altis Automatic 1.6,PKR 38.7 lacs,3870000,Lahore,2016,"88,000km",Petrol,1600cc,Automatic,Not Certified,Customer,88000
Suzuki Cultus  2014 EURO II,PKR 14.1 lacs,1410000,Lahore,2014,"82,000km",Petrol,1000cc,Manual,Not Certified,Customer,82000
Honda Accord  2004 CL9,PKR 26.5 lacs,2650000,Lahore,2004,"110,774km",Petrol,2400cc,Automatic,Not Certified,PakWheels,110774
Toyota Yaris  2021 GLI MT 1.3,PKR 40 lacs,4000000,Lahore,2021,"29,774km",Petrol,1300cc,Manual,Not Certified,PakWheels,29774
Range Rover Autobiography  2020 P400e,PKR 8.25 crore,82500000,Islamabad,2020,"63,000km",Hybrid,3000cc,Automatic,Not Certified,Customer,63000
Toyota Prado  2013 TX 2.7,PKR 1.7 crore,17000000,Karachi,2013,"126,000km",Petrol,2700cc,Automatic,Not Certified,Customer,126000
Suzuki Alto  2008 VXR (CNG),PKR 10.5 lacs,1050000,Lahore,2008,"127,132km",Petrol,1000cc,Manual,Not Certified,PakWheels,127132
Suzuki Ciaz  2018 Automatic,PKR 28 lacs,2800000,Islamabad,2018,"105,000km",Petrol,1400cc,Automatic,Not Certified,Customer,105000
Toyota Vitz  2007 RS 1.3,PKR 26 lacs,2600000,Rawalpindi,2007,"150,000km",Petrol,1300cc,Automatic,Not Certified,Customer,150000
Honda City  2011 1.3 i-VTEC,PKR 25.3 lacs,2530000,Lahore,2011,"132,040km",Petrol,1300cc,Manual,Not Certified,Customer,132040
Honda Civic  2004 VTi Oriel 1.6,PKR 18 lacs,1800000,Haripur,2004,"123,456km",Petrol,1600cc,Manual,Not Certified,Customer,123456
Suzuki Khyber  1997 GA,PKR 9 lacs,900000,Rawalpindi,1997,"999,999km",Petrol,1000cc,Manual,Not Certified,Customer,999999
